Table 'Credits'
"ID";"Debitor ID";"Amount";"Current Balance";"Open Date";"Deadline Date"
"bf3496a9-8414-4ef9-8437-00c018da6f48";"4572d4e3-160c-4027-87f4-53f38faad2d8";"7500,0000";"7500,0000";"18.07.2015 23:14:36";"18.07.2018 23:14:36"
"08ea313c-4cb5-47ab-8278-5197b2e9807a";"e75bf936-f4a3-4fb9-9545-01b9729f0ceb";"4000,0000";"2487,4500";"01.04.2010 0:00:00";"01.04.2016 0:00:00"
"5cdba2af-8bc2-4865-b666-5f02da0bd191";"228342de-dc31-4d48-9e43-76fd288579e6";"7000,0000";"7000,0000";"11.03.2013 0:00:00";"11.03.2016 0:00:00"
"8723c19f-04b0-4b40-8316-695fb36b2f4a";"2a5d47a8-0847-4cf0-add7-794fa01b9614";"12000,0000";"8500,0000";"09.07.2014 0:00:00";"09.07.2016 0:00:00"
"3a6cc075-48f9-488f-b774-78f8ecdfcdf2";"4572d4e3-160c-4027-87f4-53f38faad2d8";"2500,0000";"2500,0000";"19.07.2015 22:24:24";"19.07.2018 22:24:24"
"6e8fd5c5-9c60-4252-bd99-82514fa8b4c3";"e75bf936-f4a3-4fb9-9545-01b9729f0ceb";"25000,0000";"5000,0000";"01.02.2012 0:00:00";"01.02.2016 0:00:00"
"d561aa5e-e575-4363-873f-c4b6fbd38714";"2a5d47a8-0847-4cf0-add7-794fa01b9614";"50000,0000";"-1000,0000";"21.07.2015 15:09:58";"21.07.2018 15:09:58"
"ea26022a-8a57-4c0c-a5bc-d3b33641ed09";"e75bf936-f4a3-4fb9-9545-01b9729f0ceb";"2500,0000";"1449,4500";"05.09.2015 0:00:00";"05.09.2017 0:00:00"
"7a18c47b-7f56-4b0a-bc49-f16188984a77";"2a5d47a8-0847-4cf0-add7-794fa01b9614";"10000,0000";"6500,0000";"11.07.2014 0:00:00";"11.07.2018 0:00:00"
End of File.
