Table 'Payments'
"ID";"Credit ID";"Amount";"Payment Date"
"68aaed10-01dd-44ba-a236-04a5b79f7e8e";"d561aa5e-e575-4363-873f-c4b6fbd38714";"10000,0000";"21.07.2015 15:12:24"
"ef40bb96-b988-459e-bf22-3cb17d9b43a6";"6e8fd5c5-9c60-4252-bd99-82514fa8b4c3";"5000,0000";"01.02.2013 0:00:00"
"06851917-cbae-455c-b2b3-3fe4fdf24d6c";"6e8fd5c5-9c60-4252-bd99-82514fa8b4c3";"5000,0000";"08.04.2014 0:00:00"
"c4b393a6-4e66-4105-ba1c-432cc10ce142";"ea26022a-8a57-4c0c-a5bc-d3b33641ed09";"1000,0000";"04.10.2015 0:00:00"
"56553cd8-3114-4559-942b-75fc3525fab3";"8723c19f-04b0-4b40-8316-695fb36b2f4a";"1500,0000";"20.07.2015 15:24:10"
"9cd69c70-fd64-4ebf-85b0-8832ed7aa90c";"7a18c47b-7f56-4b0a-bc49-f16188984a77";"500,0000";"07.03.2015 0:00:00"
"efc32ffe-2fb1-4e24-81e8-8e4d24e80caf";"6e8fd5c5-9c60-4252-bd99-82514fa8b4c3";"5000,0000";"02.07.2015 0:00:00"
"d48067e6-60fd-44af-8ad7-9c2f10b761c3";"08ea313c-4cb5-47ab-8278-5197b2e9807a";"12,0000";"20.07.2015 15:32:11"
"c789a011-d6d2-420c-8487-ccf2bcb034ff";"d561aa5e-e575-4363-873f-c4b6fbd38714";"1000,0000";"21.07.2015 15:11:49"
"193c624f-7d56-49d6-bd28-e57d59aa1b81";"7a18c47b-7f56-4b0a-bc49-f16188984a77";"3000,0000";"12.06.2015 0:00:00"
"91c35a32-364a-4a67-82b8-e6d153a2dd8d";"08ea313c-4cb5-47ab-8278-5197b2e9807a";"1500,5500";"21.07.2015 0:47:26"
"adb1a9c6-c131-471e-804d-e70463d5a600";"d561aa5e-e575-4363-873f-c4b6fbd38714";"40000,0000";"21.07.2015 15:12:47"
"94a6a20f-169a-41da-ae4e-e77ab9cd6768";"8723c19f-04b0-4b40-8316-695fb36b2f4a";"2000,0000";"20.07.2015 15:23:22"
"ecf068c2-6403-4da1-8ac6-e84eeac53a6f";"6e8fd5c5-9c60-4252-bd99-82514fa8b4c3";"5000,0000";"01.02.2012 0:00:00"
"391394e2-c49f-43c6-bd48-fb5dd1eb8950";"ea26022a-8a57-4c0c-a5bc-d3b33641ed09";"50,5500";"21.07.2015 15:15:04"
End of File.
